,리뷰어,리뷰 날짜,리뷰 텍스트
46,sh** ,21.06.30,"프링 린넨 반팔 숏자켓 vs  베이트 린넨 하운드 체크 반팔 자켓

두 개 엄청 고민하다가 너무 예뻐서 두 개다 사벌였습니다..ㅎ
저 같은 사람있을까봐 비교하면서 쓰것슴돠
편의상 프링 리넨 반팔 숏자켓은 ➡️프링
베이트 린넨 하운드 체크 반팔자켓은 ➡️ 체크 로 부르것슴다

🌝재질 및 두깨감🌝
프링이 훨씬 두껍습니다. 만지면 탄탄한 소재인 것이 느껴져요. 한여름 무리무리~ 체크는 그나마 좀 가볍고요. 주름이 프링보다는 안지는 재질입니다. 레이온/폴리가 섞여서 그런 것 같아요~ 그래서 체크가 더 찰랑찰랑~ 하는 느낌이고 프링은 탄탄!

🌝전체적인 핏(feat.어깨뽕)🌝
프링이 제가 입을 때 뭔가 더 옷의 너비가 크게 느껴졌어요. 어깨뽕도 체크보다 더 두껍네요. 
프링은 소재탄탄+어깨뽕두꺼움+옷 자체에 너비가 넓어서 체크보다는 좀 부해보일 수 있겠다는 생각이 드네요. 게다가 제가 프링 내추럴 밝은색으로 사서 더더욱 그래보이나봐요. 전 왜소한 편인데도 입었을 때 '오..🤔?'이런느낌이였습니다. 체크도 어깨뽕 있긴하지만 저한테는 딱 좋은 어깨뽕이였고 그래서 그런지 핏도 좀더 저한테 맞는너낌?

🌝기타🌝
개인적으로 디테일은 프링이 더 좋았고 핏은 체크가 좋았어요. 그리고 두개 다 어깨뽕이 있는 상품이여서 숄더백을 어깨에 멜 때  좀 불편하겠더라구요..ㅎㅎ^^ 그래도 뭐 이쁩니당"
47,es** ,21.05.27,"색, 퀄리티 너무좋아요
어깡 얘기많이하시는데 저는 이미 모태 어깨깡패라서
아주 딱맞네요 예예 사이즈 굿입니다
살좀빼소 박시하게 입으면 좋을거가타영 ~~~><
너모예뽀요 두껍긴한데 그래서 더 고급져보입니다 >< 진짜 잘샀네요 이거 ~~~~"
48,rh** ,21.09.08,"자켓이지만 나시에 단추 잠그고 입을 옷을 찾다가 인기 제일 많은 상품으로 뜨길래 포토후기를 거의 다 읽어보고 구매했습니다!
제가 통통한 편인데요 그럼에도 불구하고 넉넉한 품과 큰 어깨는 후기를 읽어보고 s사이즈를 구매하기 잘했다고 생각했습니다!
저는 어깨에 패드를 제거해서 입고있습니다~
그리고 디자인, 핏 모두 사진이랑 동일합니다
재질은 린넨인데 탄탄해서 한여름에는 못입고 지금 딱 입기 좋습니다~
엄마가 사진으로 보실때는 음 그냥 그런데 라고 하셨다가 실제 옷 입은거 보시고는 깔끔하다, 이쁘다, 무난하다, 언제입어도 괜찮을것 같다고 하셨습니다
너무 만족스럽습니다

구매하기 고민되시는분들은 다른분들 후기 꼭 참고하시는걸 권해드립니다~"
49,yy** ,21.06.02,너무너무 맘에 들어요~!! 그래서 색상별로 구매하고 다른상품도 오늘 추가 구매햇습니다! 약간 크게 입는게 좋아서 크게 주문햇는데 만족합니다! 어깨깡패된다던데 저는 잘몰겟어요 ㅠㅠ 오히려 적당히 슬림해 보이는 효과를 주는것 같아용!!!
50,go** ,23.10.09,"슬앤자켓 오랜만에 구매했어요
크롭기장이라 다리가 길어보이고 캐주얼하게 입어도 잘 어울리는거같아요
예전에 제작자켓 구매했을 때 소매 걷었을때 지저분한게 별로였는데 이건 깔끔해서 좋아요.
겉주머니는 없지만 이너포켓 있어서 편하고, 자켓 소재는 매끈한 폴리가 아니라 결이 보이는 탄탄한 면느낌입니다 !"
51,ab** ,23.10.04,"봄가을용으로 나온것같은 두께예요! 여름에 입기엔 더워요
요즘처럼 겉옷 입기 좋은 날씨에 걸치면 좋아요
특히나 예식 장례식 또는 격식있는 자리에 입기 가장 무난하고 좋은 기본템이라 오래오래 입을거같아요!!"
52,03** ,22.10.22,"키 157cm. 몸무게 57kg입니다.
키가 작아 숏자켓이 있으면 좋겠다 했는데 잘 샀어요!
자켓이 두루두루 사용도가 너무 좋아요!! 여기저기 잘 어울려!
이번주초에 받고 토욜까지 매일 입은 듯...♡

슬로우앤드에서 같이 산 모션인생수트스커트 그레이지랑 색은 좀 다르지만 같이 입으면 잘 어울려요! 거기에 해브브이넥소프트니트티 스카이민트색 바쳐 입고 롱부츠 신으니 찰떡이구요. 
회색니트티나 미니멀무드피그먼트단작셔츠 그레이시민트에 검은 슬랙스랑도 잘 어울리고 코트 속에 입어도 편하고 좋습니다. 
쌀쌀한 저녁에 입기도 좋고 실내에서 편하게 입고 있을 수도 있어요.
단추를 잠가 입어도 이쁘고 풀고 입어도 이뻐요.

사이즈표 보면서 자켓 어깨가 넓은가? 싶었는데... 제가 팔뚝 둘레가 30cm이거든요. 살 튀어나온 데까지 어깨선이 나와있고  팔라인을 일자로 떨어트려주니까 팔뚝살 부각 없이 날씬해보여 좋아요! 끼는 데 없이 편하고 좋네요

이번에 슬로우앤드에서 잔뜩 샀는데 완전 만족! 대만족!!"
53,he** ,22.09.13,"팔목 부분 팔통을 대체 왜 이렇게만들었는지 이해가..
너무 길고 이상해서 꼭 접어서 입어야할듯…
컬러는 흔한 베이지 아니여서 맘에듭니다.
두께감도 있어서 아직 못입고 나가는데 잘 입어지길.. ㅠ
재질은 제 기준 그리 고급진 느낌은 모르겠어요 
다른 자투리 원단으로 만든 느낌이랄까..?"
54,01** ,22.04.20,"슬로우앤드 알게된지 얼마 안됐는데 옷 퀄리티가 너무 좋아서 지금 엄청 많이 사고있어요.. ㅋㅋㅋ
거의 슬앤 홀릭됐어요
자체제작 많아서 너무 좋아요 !! 

우선 이 자켓은 진짜 흔하지 않은 색상이라 소장가치있구요 옷 입으면 디게 분위기있어보여요
슬앤에서 같이산 투데이데님흑청이랑 같이입었는데 다리도 엄청 길어보이구 날씬해보였어요 ㅋㅋ 
요즘 슬앤에서 산 옷들로 코디하면 주위사람들이 다 다리길어보인다고그래요 ㅋㅋㅋ넘나좋음

자켓은 좀 두꺼운편이라 이제 얼마 못입고 넣어놔야겠지만 가을부터 진짜 뽕빼고 입을거같아용 ㅋㅋㅋㅋ
5월 중순까지는 입어도될것같습니다 !! 
저는 가슴이 큰편이라그런지 풀어서 입는게 훨이뻤어요
재질 정말 탄탄하구요~~ 
밖에 주머니가 없는게 좀 적응이 안되지만 그래서 더 깔끔한핏 나오는것같아요 ! 안쪽에 주머니있어서 불편함은 없습니당 ㅎㅎㅎ 크롭이라 어차피 주머니에 손 넣지도 못할거같아요 ! 
그렇다고 너무 크롭은 또 싫은데 세미크롭 느낌이라 좋았어요
팔 소매부분도 오픈되는 리얼단추라 너무조아요
단추색깔도 자켓색상이랑 찰떡 🤍
이런 이쁜옷 앞으로도 마니마니 팔아주세요🧡🧡"
55,ln** ,23.09.07,"170/76 오버핏 맞습니다 ㅋㅋ 지금보다 좀 더 가을이 오면 안에 티입고 가볍게 입기 좋을거 같아요!! 색상이 딱 추울때 입는 색상입니다 너무 많이 구겨져서 와서 그게
아쉬워요 ㅠㅠ 집에 스팀다리미가 없어서 어떻게 해야하나 고민입니다"
56,sl** ,23.07.14,단정하게 걸칠 수 있는 자켓 찾다가 몸에 딱 맞는 옷은 또 싫어하는지라 구입했는데 아주 좋아요. 아마 잠그고 다니진 않을 거 같고 통통한 사람에게도 오버핏으로 착용되는 아주 넉넉함을 자랑하네요. 소매는 걷어서 입어야 할 거 같고 어깨에 패드가 있어 더 어깨가 넓어보이긴 하지만 오히려 어깨를 잡아줘서 마냥 부해보이진 않는 거 같아요. 지금은 여름인지라 못입고 나머지 계절에 색상이 또 검정이라 여기저기 잘 입고 다닐 수 있을 거 같네요!
57,pr** ,23.03.30,배송이 생각보다 늦게 오지만 옷은 만족스러워요~ 색깔이 너무 이쁘고 재질도 괜찮은 거 같아요. 조금 루즈피트 느낌이라 편하게 입고 다닐 수 있을 거 같아서 좋아요~! 가격이 비해 아주 괜찮습니다! 강추입니다~~
58,go** ,23.03.11,옷이 생각보다 가볍고 재질이 부드러워요.길이감도 엉덩이를 살짝덮고 디자인이 세련돼서 좋았어요.핏이 일단 부해보이지 않아요.제가 66사이즈 입는데 정 사이즈에요.하의를 어떤거를 받쳐입어도 부담없는 스타일. 강추! 가격!
59,yu** ,23.03.10,"구매평이 좋아서 괜찮다 싶어 구매했어요
많이 구겨져서 오지않아서 바로 입어도 될것 같아요
봄에 원피스랑 입어도 이쁘고 정장.청바지 다 잘어울릴것
같네요! 66사이즈인데 예쁜 오버핏으로 잘 맞아요"
60,fh** ,23.09.17,라이트옐로우랑 그냥옐로우랑 차이점이 컬러감이 아니라 두께감 차이더라구요! 저는 브라운슬랙스에 매치하려고 라이트옐로우 구매했는데 약간만 더 추워지면 입기 딱 좋은 봄가을 자켓이예요! 컬러감도 너무 예쁘고 득템했습니다ㅋㅋ
61,sa** ,23.08.23,"너무 귀여운 핑크 트위드 자켓이다
173, 62 인데 완전 오버핏으로 입고 싶어 100사이즈 선택
색감도 연한 핑크색이라 너무 귀엽구 두께는 적당한 편이다 디자인도 깔끔하고 핏도 예뻐서 가을에 바지랑 치마랑도 매치해서 자주 입을 것 같다


”제품을 제공받아 작성한 솔직한 후기입니다“"
62,th** ,23.08.23,"이번 가을 준비는 미쏘에서 해봤는데 특히나 이 자켓이 가장 마음에 들었어요! 고퀄리티에 괜찮은 가격으로 가성비와 가심비 모두 잡은 상품이였구 화면에서 보는 상품의 느낌 이미지 컬러 디자인이 모두 동일해서 생각했던 옷 그대로 배송받아서 직접 보고 산것 같았어요! 단추 하나하나에도 깔끔한 마감으로 더욱 높은 퀄리티를 느낄 수 있었습니다!

#협찬 #미쏘 #MIXXO #MIWJKD31PG #미쏘트위드 #미쏘트위드자켓 #시티룩  "
63,th** ,23.11.05,"가을 나들이 잘 즐기다왔어요 나름 따뜻하긴한데 딱 가을 봄용인듯하고 겨울엔 좀 추울것같아요 
남자친구도 보자마자 아우터 예쁘다고 칭찬 해주더라구요  퀄리티는 백화점입점 상품답게 마감이나 재질 탄탄해요 구매후 실밥정리안한 옷 몇 안 되는데 그 중 하나에요"
64,12** ,23.11.04,"왼쪽은 그냥 카메라로 찍었을때 색감. 오른쪽은 실제 옷 색상과 가장 비슷한 색상이라 다시 찍었어요~! 실제보면 오른쪽보다 훨씬 채도높고 뽀용~한 라이트핑크색상입니다!! 받자마자 넘 예뻐서 입고 놀러나가고싶은 옷이네요ㅡ 저는 딱 핏되게 입고 싶어서 160에 53. S사이즈 샀는데 니트는 못입겠더라구요ㅡ 좀두꺼운 니트입고 입으려면 M이나 L사이즈 사야될듯요. 쿨톤이라 아이보리랑 라이트핑크중 고민했는데..하아. 2가지 다 사고싶어졌네용ㅎ 쿠폰할인에 마일리지. 적립금 +하나카드 할인까지 57,000원에 샀는데ㅡ 완전 만족합니다 ~!!^^"
65,jy** ,20.10.25,"남자친구랑 커플로 입으려고 샀습니다 제가 데쥬에서 옷을 자주 사는데 전에 자켓을 샀다가 하자 있는게 와서 이번에 주문넣자마자 문의드렸더니 배송도 4일만에 오고 하자 없이 완벽하게 왔습니다 :)
남자친구는 남녀공용으로 샀고 저는 키가 작아서 이 자켓으로 입으면 너무 할아버지 정장 입은 것 같아 보일 것 같아서 일반핏으로 샀습니다! 
자켓은 저렴한 가격에 비해 전혀 이 가격으로 산 것 같지 않다는 것이 장점입니다:->
하지만 잘 구겨진다는거 명심하세용 착샷 같이 올려요 구매하세여 ~~~!"
66,11** ,20.10.25,"1. 가격에 비해 퀄리티 굉장히 좋은 편이나 역시 싼티가 좀 남
2. 색감 핏 화면이랑 같음(내 체형에 오버핏 딱 맞음)
3. 이거랑 세트인 슬랙스 안 사는 걸 추천함(슬랙스랑 따로따로 입는 게 더 예쁨) 진짜 사고 싶으면 자켓만 사세요
4. 배송 개 느림 2주 하고도 3,4일? 걸렸음 슬랙스는 일찍 오고 자켓은 위처럼 와서 슬랙스 맘에 안 드는데 반품할 시기 놓침"
67,th** ,21.03.12,"배송 : 주말 포함 8일만에 도착
장점 :
1. 가격이 저렴하고 가성비가 좋은 편
2. 저렴한 가격에 비해 재질이나 마감도 괜찮음
3. 색감이 너무 밝지 않아 무난하게 매치가 잘됨

단점 : 
1. 10대들이 입기에는 좋겠지만 20대 중반부터는 싼티가 남(딱 그 가격으로 보임)
2. 체구가 작음에도 오버핏이라기보단 기장만 긴 감이 있음
3. 어깨뽕이 없어서 정장류 특유의 각이 살지 않지 않음

기타 : 결과적으로 말하면 빈티지한 힙함을 표현하기엔 좋으나 단정한 복장으로의 표현은 못함"
68,th** ,21.02.09,"ㅠㅜ 대 만 족 170 50후
딱 이런 핏 찾고있았는데 사길 고민한 제가 후회스럽습니다..ㅠ 빨리 살걸 짱예뻐요 실제보다 말라보여요ㅠㅠ 팔뚝살커버되고 몸통이 그냥 전체적으로 얇아보여서 대 만 족"
69,ol** ,22.11.21,사진만 봐도 너무 사랑스럽지 않나요🥺 착용감도 편하고 세트와 롱부츠의 조합이 기대 이상이에요- 팔은 접어입으면 이쁘고 어깨뽕도 적당이 들어가있어서 외소한 분들이 보완하시기에 좋은 핏이에요:) 엉덩이 덮는 기장으로 여러 핏을 연출할 수 있어요!
70,kb** ,23.10.25,"진짜 실물 깡패!!!
얇기 정도가 딱 지금 입기에 정말 좋은 것 같아요!
원단도 퀄리티가 있으며 츄리닝, 청바지 등 구애 받지 않고 휘뚜루마뚜루 잘 입을 수 있는 옷이에요!
생각보다 옷이 많이 크지만 예뻐서 입을 수밖에 없는 그런,,ㅎ
153인 저에게 이 정도의 핏이니 참고 해주세용🫶
스트링으로 쪼일 수 있어서 그때그때 옷에 따라 코디 할 수 있어 더욱 추천!"
71,ss** ,21.10.21,"(사진에서 검은색으로 빗금친 부분은 제 에코백임다,,, 옷이랑 색깔이 비슷해서 옷으로 착각하실까봐! ㅎㅎ)

색상은 모델, 상세컷이랑 완전 똑같구, 크기는 생각보다 더 커요! (제가 워낙 왜소해서,,,🥲)
근데 이제 날씨 추워져서 안에 많이 껴입거나 두꺼운 니트 입고 이거 입으면 딱 알맞고 이쁘더라구요!
두께는 정말 얇아서 추위 막음용으로는 불가할 것 같습니당❕❕
하지만 정말정말 예뻐요ㅠㅠㅠ

밑에 주름지게 입으면 더 예뻐서 스트링을 주욱 땡겨서 입었는데, 저렇게 튀어나온 부분은 어떻게 해야할지 고민중,,, ㅎㅎ😜"
72,ca** ,21.11.01,"한 겹만 입기엔 넘 춥고,, 아직 너무 두꺼운 아우터는 좀 아닌 것 같은 바로 지금 낮에만 적당히 입기 괜찮아요
솔직히 질은 별로입니다 엄청 잘 구겨지구요, 얇아서 예쁜 각 잡기 어렵구요 길이 어정쩡하고 줄 당겨서 모양 잡아도 꽤 이상한 모양인데다 지퍼 디테일이 상당히 별로입니다. 그래도 그냥 휘뚜루마뚜루 입기에 나쁘지 않았습니다. 재구매는 절대 하지 않을 듯하네요"
73,rl** ,23.11.11,"받고 입었을때 사실 너무너무 커서 놀랬음
거의 상의 m 짜리 입는데 XL가 온 느낌?
근데 안에 후드옷 입고 밑에 허리쪽 줄 당기니깐 너무너무 이쁜 핏이 나왔어요 엉둥이 가운데까지 가려줌
(뱃살짱짱하게 가려줌 ㅋㅋ)
착용감은 편하고 디자인도 화면이랑 똑같아소 맘에 듭미다!!!"
74,ch** ,23.11.02,"핏이 여리여리해보이고 너무 이뻐요 
재질이 면이긴 하지만 생각보다 주름이 막 생기진 않아요
다만 아쉬운 점은 자크가 조금 저렴해보입니다
그래도 가볍게 걸치기도 좋고 배송도 빨랐어요
중딩딸이랑 같이 입고 너무 좋습니다
"
75,hu** ,22.11.23,이런 코트는 다 어깨장군되나봐요 근데 퀄도 좋고 제가 그냥 미쏘 이런데서 산거는 입으면 어깨 너무 아파서 담걸릴정도라 못입었눈데 이건 편해요 색도 이쁘고 잘 입을 것 같아요 한겨울은 좀 힘들듯요?!
76,dy** ,22.11.21,후기에서 좀 크단 말이 있어서 어떨까 궁금했는데 제가 키가 있어서 그런지 너무 이쁘게 잘 맞았어용 두께도 두껍고 질도 좋아서 한겨울 돼도 안에 껴입고 다니면 좋을 거 같아용 완전 이뻐요 최고😻
77,su** ,23.10.31,구석구석 탄탄하네요. 입고 움직일 때 생기는 어깨부분의 주름이 예쁘고 자연스러워서 마음에 들어요.   두툼해서 따뜻할 것 같아요. 자켓 안이 넉넉지는 않아서 얇은 니트 입고 걸쳐주려구요
78,rh** ,23.10.31,"작년에 사려고 장바구니에 담아두었다가 고민하다가
지인이 입으 모습 보고 
차콜 주문하려고 했는데 작년에 품절되다가 못사고
이번에 입고가 되는 사실을 알고
바로 주문했어요
생각한대로 너무 예쁘네요 
퀄리티 마음에 들고 핏도 잘 빠져서 너무 예뻐요 
자켓보다는 코트에 가까운 재질이라 초겨울까지 
거뜬하게 입어도 될거같아요
후회 없어요!!"
79,dl** ,23.10.27,"

상자에 잘 포장돼서 왔구 체구가 작은 편인데도 
심한 오버핏도 아니였고 딱 예쁘게 맞았어요!

퀄이 막 와 엄청 좋다!!!! 이정도는 아니고 가격대비 괜찮은 것 같아요! 단추 부분이 좀 우는 경향이 있고
내부 포켓이 있었으면 참 좋았을텐데 아쉬워요

그리고 맡기 싫은 냄새는 아닌데 공장냄새인듯한 냄새가 나서 섬유탈취제 뿌려두고 밖에 내놨어요
냄새빠지는건 좀 기다려봐야 알듯함

그래도 좀 더 추워지면 머플러, 장갑 등 겨울 악세서리와 잘 어울릴 것 같은 디자인에 여기저기 잘 어울릴 것 같고 출근룩으로 무난해서 손이 많이 갈둣합니다

작년부터 하도 유명해서 기다렸다가 후기 대충 보고 그냥 사보자 하고 샀는데 꽤 만족스럽네용~~

"
80,k_** ,21.03.25,"4월 초 주말에 결혼식 갈 일이 급 생겨서 주문했는데, 하루만에 와서 너무 놀랬아요! 근데 주문하고 리뷰를 더 읽어보니 55사이즈 분들밖에 없더라구요ㅠㅠ
저는 159/56키로 66사이즈만 입을 수 있는 사람이라 조마조마 했는데! 생각보다 잘 맞아요ㅎㅎ대신 자켓을 잠궈 입으니 퉁퉁해보이긴 해요~그리고 처음 입어보고 어깨뽕은 놀라긴 했는데ㅋㅋ오히려 어깨뽕이 뽝 하고 들어가있으니 둥그런 팔뚝 라인이 가려져서 날씬해보입니다~몇번 입어봐야 퀄리티는 알 수 있지만 너무 만족스러워요"
81,ju** ,21.03.11,"자켓을 딱 만졌을때 살짝 도톰한 감이 느껴져요 많이 얇진않네요!! 딱 정석 블랙이고 팔은 길어요 그리고 어깨,, 가 다른 리뷰들에서처럼 살짝 커요 그래서 쬐끔 부담스러운 느낌이 있어요,, 근데 머리로 대충 가리고 ㅋㅋ 깔끔하게입기 좋네요! 안에 이너를 좀 파인걸 입으면 더 이쁜것같아요 ㅎㅎ"
82,ej** ,23.04.26,"포장 깔끔하게 와서 너무 마음에 들었어요
입었을 때 어깨가 각이져서 잠궈서 입으면 
너무 어깨가 각져서 단추를 잠그지 않고
풀어서 입을 때 예뻐요! 제 몸이 듬직해서 그런지
모델과 분위기는 좀 다르지만 질도 괜찮고
디자인도 깔끔해서 마음에 들어요"
83,be** ,23.03.30,"말모.. 블랙 너무 잘 입고 있어서 올라오자마자 구매했는데 넘 예뿌네요 ..🤍
외출하고 와서 대충 뜯자마자 입어 본 건데도 예뿌고 누오스 아이보리랑도 찰떡,, 
소재 얇아졌대서 덜 탄탄할까 걱정했는데 퀄리티 그대루 조아요 🥹"
84,dk** ,23.09.21,"어깨랑 팔뚝살 많은 상체발달체형이라 낑기면 어쩌지 했는데 안에 두꺼운 옷은 못입을 것 같긴 하지만 얇은 이너랑 입으면 딱 이쁜핏으로 떨어져서 좋아요
재질은 딱 가격정도의 느낌이었고 두께감은 살짝 도톰한 자켓이어서 코트꺼내기전까지 입으면 좋을 것 같아요"
85,ey** ,23.10.29,"급하게 정장자켓이 필요해서 찾다가 발견했는데 너무 잘산거같아요! 제가 키가 작고 쫌 왜소해서 잘못사면 아빠옷 입은것처럼 보이는데 이거는 길이나 폼이 그냥 박시한느낌으로 잘 맞았어요! 세미정장느낌을 원했는데 딱 그런느낀이어서 좋았고 진짜 길이감이랑 핏이 딱 제가 원하던 느낌이에요! 키 157cm, 몸무게 47kg이니 참고하시면 좋을거같아요"
86,6g** ,23.09.13,"결론: 아주 만족해요!! 베이지 컬러도 재구입 의사 100%

면접에서 입을 정장자켓이 없어서 급하게 주문했어요!!토요일 저녁 8시쯤 주문했고 (당일 밤에 출고됨) 일요일 지나 월요일 오전에 바로 도착했어요!!

와.. 지방인데도 이리 빠른 처리라니 ㅠㅠ 감사합니다🩵
덕분에 무사히 면접 보고왔습니다!

---

옷 재질이나 마감도 너무 좋았어요. 빛에 따라 심하게 유광빛 빤딱한 재질 아니고 고급스러운 재질이에요.
두께감은 얇은 편이나 지금 아침저녁 쌀쌀한 기온에도 입기 좋았고 마감도 깔끔했어요!!

물론 단추에 가벼운 오염이나 실밥이 붙어오는 아쉬움은 있었지만 제거 가능해서 크게 신경 안썼구요.

제 키/몸무게 기준 팔뚝이 약간 여유없다. 싶긴 했으나 정말 그 외로는 몸에 맞춘듯 잘 어우러졌어요!!

어깨패드가 두께감이 있었지만 과하지않게 표시되는 느낌뿐이라 적당했고 길이감도 엉덩이 반 살짝 덮는 기장이라 좋았어요:)

가성비 정말 좋다고 생각하고!
너무 두껍지않은 자켓이 필요하다면 정말 강추드려요!

저는 베이지 컬러로 하나 더 구입할 생각입니다~"
87,xo** ,21.08.29,"일단 재질이 진짜 최고에요
사실 핏이나 다른 건 그냥 그냥 다른 자켓들이랑
별반 다를 바 없는데 재질이 유독 눈에 띄게 고급진 느낌..?? 
다만 품은 너무 크고 이에 반해 팔은 살짝 딱 맞는..? 팔살이 있으면 타이트했을 것 같은 느낌인게 좀 아쉽네오"
88,ji** ,21.05.02,예뻐요 작년 때 구매했었는데 잘 입고 다니다가 잃어버려서 그냥 똑같은걸로 재구매했어용 뭔가 품이나 두께가 달라진거같은 느낌을 받았지만 괜찮아용 가볍게 걸치기에 딱 좋을정도로 얇아요 긋긋
89,38** ,20.04.12,키가 157이라 자켓 잘못입으면 아빠옷 훔쳐입은것같아서 길이는 수선했어요! 자르기 전 길이도 진짜 예쁜데 전 키가 작아서 수선한거구 마감이나 재질 진짜 완벽해요 편하고 ㅠㅠㅠㅠ 핏도 진짜 미쳤어요.. 다들 이거 사시기 바랍니다 .. 이거 사고 나갈곳없어서 일주일동안 바닥에 내팽겨쳐둬서 구겨졌을줄알고 다리려는데 무슨 구김도 하나도 없어요
90,jc** ,21.08.19,"일단 엄청 만족스러워요💗
다들 사이즈를 크케 시킨 분들이 많아서 s를 사야할지 계속 고민하다가 결국 s샀는데 딱 좋아요!!! 길이는 다 똑같다고 써있는데 길이도 저한테 딱 맞네요:)) 딱 엉덩이까지 가려져요!!! 
실밥이 여기저기 많은거 빼고는 엄청 만족스러워요!!
브랜드 퀄리티 더 올리시려면 실밥이랑 마감처리 더 깔끔해지면 진짜 좋을거같아요👏(여기서 별 하나 뺐어요)
색상은 사진과 비슷해보이고 여기저기 매치해서 입기 좋을듯해요!

📦 아 그리고!!! 배송 엄청 빨라요… 휴일에 시켰는데 화요일날 바로왔어요!!"
91,rk** ,21.07.16,"루즈핏으로 입고싶어서 m으로 했는데 더 작은 사이즈했어도 괜찮았을 것 같아요
색상은 완전 백아이보리는 아니고 크림색이 살짝 섞인 색입니다
안이 다 비칠반큼 얇긴하나 소재가 시원한 소재는 아니라 요즘같은 한여름엔 더워요
편하게 입기 좋습니다"
92,uj** ,21.07.11,"평소 55입는데 키가있어서 그런지 여유있게 약간 오버핏으로 예쁘게 입을수있어요
완전 얇아서 찰랑거리는 정돈아니예요
하지만 구김도 잘안가고 안에 박음질이 꼼꼼해서 더 만족스럽네요
어깨패드 걱정했는데 오히려 핏 잡아주는거 같아서 맘에들어용"
93,ds** ,21.07.08,"170/73이고 살이 급쪄서 77로 입는 상비에 엄청난 어깡입니다...
자켓은 오프에서만 사다가 급하게 약속이 잡혀서 직진배송으로 반팔자켓 사게 됬는데 생각보다 실물 착용샷 되게 이뻐요!! 검정이라 유행도 안 타고 괜찮은 것 같아용
그리고 다들 리뷰에 어깨패드 때문에 다들 어깨가 엄청 넓어보이신다고 하셨는데 저는 진짜 떡대가 엄청나서 그런지 어깨가 딱 맞네요..ㅠㅠ
혹시 저 같은 체형 가지신 분들은 걱정말고 바로 L로 사시면 됩니다!ㅎㅎ
그리고 어깨패드 너무 티나요
근데 진짜 제가 집에서 입는 옷 위에 입어서 그렇지  실제로 보면 진짜 이뻐용 저는 모델분 처럼 널널한 핏이 아니라 딱 맞는(?) 핏인데도 맘에 들고 예쁩니다ㅇㅇ
그리고 사진에서 보시다시피 저한테는 기장감 좀 애매해요"
94,mi** ,21.07.01,오자마자 잠옷 위에 입어본 ^^.. 단추부분이랑 옷 여미는 부분이 살짝 마감이 덜 되어있었고 배 부분 옷에 검은색으로 뭐가 묻어있더라구요 ㅠ 새옷 냄새도 확실히 많이 나고 어깨 뽕이 진짜 .. 뽕실하더라구요 ㅋㅋㅋㅋ 근데 전 그렇게 심하다고는 생각 안들어서 그냥 입으려구요! 배송도 진짜 빨리와서 만족입니다 ㅎㅎ
95,go** ,20.05.18,제가 요즘샀던옷중에 제일 사랑하고 뿌듯한옷이예요 질감도 나쁘지않거 핏도이뻐요 재질은 너무 좋아요 근데 77~88입으시는분들 한사이즈 작게사셔도 괜찮을듯해요 오히려 킨거사니깐 약간 어깨가 넓어보여요
96,ye** ,23.03.27,옷이 가볍고 원하던핏이라서 너무 좋아요 ㅜ ㅜ 길이도 맘에들어요 ! 개개인마다 원하는 핏이 있겠지만 저는 약간 딱붙는거보다 오버핏 그대로 원했던건데 진짜 오버핏이에요! ( 이상한 큰옷입은 느낌 X )
97,su** ,22.09.23,예전에 모카 색상도 구매했었는데 데일리로 입기 편해서 블랙도 하나 구매했어요! 딱 제가 원하는 오버핏이고 주름도 많이 지지 않아서 좋아요. 아무데나 휘뚜루 마뚜루 입기 좋습니다! 편해요.
98,wl** ,21.09.02,170센치인데 겁나 커요ㅋㅋㅋ 아빠꺼 입는듯한 느낌은 그래도 안나서 다행이고 두께는 생각보다 얇은편? 초가을 즈음에만 입을 수 있을거같네여! 그리고 모카모카 라기보단 뭔가 초록색이 약간 아주약간 섞인 색이에여 그래도 전체적으로 마음에 들어서 걍 입을라구여
99,wl** ,21.05.17,어깨가 많이 넓고 팔이 긴 편이라 사이즈1을 시키기엔 영 불안해서 2로 시켰는데 팔이 좀 짧긴 하지만 만족했어요!! 워낙 크게 나와서 부하게 보이는 것 같긴 하지만 그래도 착용감이랑 옷감 상태 좋았습니다:) 자켓 입고 주변 반응도 매우 좋아서 기분 좋게 입고 여행 다녀왔습니다~
100,dm** ,23.09.26,"화면이랑 다른 옷인거 같아요
화면은 뒷트임이 없고 원단도 뭔가 차르르한 느낌이던데..
두께도 생각보다 있고 , 길이도 좀더 길었음 좋았을거 같아여
생각한거랑 달르지만 그래도 핏도 이쁘고 나쁘지 않네요
연휴때 입을거라 나름 만족하고 입으려구여
"
