,리뷰어,리뷰 날짜,리뷰 텍스트
12,mi** ,23.04.02,"어깨가 직각이고 넓은 편이라 너무 오버핏이면 어깨가 태평양같을 것 같고, 또 너무 딱 맞으면 너무 차려입은 느낌이 날 것 같아서 약간 오버핏인 자켓을 찾고 있었는데요! 딱 이 자켓이 그런 느낌인 것 같아요

약간 오버핏이라 어디에든 휘뚜루마뚜루 잘 입을 수 있고, 어깨가 엄청 넓어보이지 않아서 저처럼 어깨가 좀 있으신 분들도 부담없이 입으실 수 있을 것 같아요

근데 날씨가 갑자기 더워져서 저녁에나 입어야될 것 같아요
더 더워지기 전에 얼른 실컷 입어야겠어요

아 글고 요즘 너무 잘 먹어서 54키로까지 쪘는데욥! 저는 보통 팔뚝과 허벅지에 살이 붙는 편인데도 이 자켓 입으면 하나도 살 안쪄보여요 헤헿"
13,iu** ,23.11.01,"키 작고 마른 체형인 분들은 이 자켓이 짱입니다… 당장 사세요… 몇년 전부터 살짝 오버핏인 자켓 사고싶어서 여기저기 사봤는데 아빠정장 빌려입은 것마냥 어깨나 품이 다 커서 반품만 5-6벌 했었는데 요걸로 정착했습니다…  어깨도 살짝 보완하는 정도고 카라도 너무 크거나 작지도 않은 사이즈여서 캐주얼과 정장 다 괜찮아요! 기본적이지만 요즘은 해주면 고마운…소매 버튼도 진짜고 뒷부분 갈라진 것도 살짝 뜨긴 하지만 괜찮은 정도에요. 색상은 회색 골랐는데 딱 예쁜 회색인 것 같슴다! 추천추천,,
아 얆기는 딱 가을자켓이에요! "
14,sh** ,23.10.26,"울산사는데 배송빨랐어요.162에 55고 s로 주문했습니다
핏은 원하던 정사이즈 핏이고 소매가 손목끝부분까지 오더라구요.조금더 긴게 좋았지만...그래도 기장은 엉덩이 절반은 덮었고 안감색을 겉과 맞춰준거 좋았습니다.무엇보다 배송상태 좋았어요.옷걸이에 걸어주시고 세탁소처럼 비닐에 감싸주시기까지bbb "
15,ch** ,22.05.02,"다른 라인의 자켓을 사고 가격이 좀 더 싸지만 비슷하고 색이 이쪽이 더 마음에 들어서 샀는데 싸서 그런지 밝은색이라 그런지 싼티가 좀 나요ㅠㅜ 탄탄하지 못해서 반듯한 느낌이 없어요. 그리고 색상이 실제로 보는거랑 좀 달라서 몇번을 확인했어요, 제가 크림베이지로 잘못시킨줄 알고 ㅎㅎㅎ 그래도 나쁜건 아니라서 잘 입고 다닙니다 ^^ 2번째는 다른거랑 색상 비교해보시라고 올려요. 뒤에 깔린게 링클프리셔츠 연베이지입니다."
16,kh** ,23.03.23,"무난한 자켓으로는 진짜 대박적 아이템입니다
목이 짧고 가슴이 커서 자켓 셔츠류가 정말 안 어울리는 사람인데 이건 찰떡같이 잘 받아요 캐주얼하게 흰 티에 청바지 입어도 되고 안에 원피스 입어도 예쁠 듯 합니다 자켓= 로렌하이임 저같이 목 짧은 여성들은 어야어야 드루와"
17,w5** ,23.09.27,리뷰보고 사는편입니다   오버핏은 싫고  어깨는 맞으며 약간 낙낙한 핏을 원했는데 딱 괜찮구요   어깨는 약간 큽니다    길이가 가장 맘에 들고 두께도 지금 부터 늦가을까지 입기에 좋을것 같아요
18,kk** ,22.04.23,"일단 4.21일 밤늦게 주문해서 4.23일 낮에 받았습니다.
퀄리티는 가격값..합니다. 네.
핏도 정사이즈 핏이구요. 리뷰보다는 실밥상태 좋았습니다. 구김도 조금?있었고 냄새는 아무냄새도 안났습니다.
아쉬웠던건 색..제가 갤럭시 기종에 블루라이트 차단하고 보긴했는데 실물은 검정색을 좀더 넣은듯한 색이에요. 사이트사진보다 쪼끔 어둡습니다."
19,hw** ,22.04.15,"색은 화면과 비슷하구요!다만 등쪽이 타이트한
느낌이 있어요 ㅠㅠ그래서 단추 채운것보단 푼게
예쁘더라구요.그리고 생각보다 얇지않아서 지금 입기 딱 좋습니다.구김이 잘 생길 수 있어서 조심해야할것같아용 그래도 가격대비 만족합니다~"
20,so** ,22.09.18,날씨가 갑자기 더워져서 거의 입지 못하고 들고만 있었지만 그래도 핏은 원하던 핏이여서 그냥 저냥 만족합니다~ 그리고  원하던 재질이 아니긴 했지만 핏도 핏이고  급하기도 했고 그래서 그냥 입으려구요~~
21,s1** ,22.05.06,상체에 살집이 조금 있는 체형이라 핏이 예쁘게 떨어지지 않을까 조금의 걱정이 있었는데 생각했던것보다 훨씬 낙낙한 핏이고 어디에나 믹스매치해도 잘 어울리는 깔끔한 디자인이라 완전 만족스러워요 ! 두께감이 얇은 편이라 완연한 여름과 겨울 아니면 어느 계절에 착용해도 괜찮은 소재예요 다만 먼지가 잘 붙는 소재라 그 점은 조금 아쉬워요🥺 그렇지만 이 가격에 이 퀄리티라 단점 충분히 보완 가능!! 예쁘게 잘 입을게요 💨😍
22,ye** ,22.04.19,생각한 것보다 사이즈가 더 큰 것 같아서 놀랐어요. 근데 그 덕에 핏이 더 예쁜 것 같기도 하네요. 아쉬운 건 가슴쪽에 있는 관상용 주머니(?) 마감이랑 전체적으로 먼지가 붙기 쉬운 재질?이라고 해야 할까 잘 관리해야 할 것 같아요. 근데 이 가격에 이 정도면 아주 만족스럽습니다.
23,dm** ,21.11.02,이번에 데쥬에서 산 것 중에 가장 마음에 들어요! 우선 핏이 예쁘고 질도 괜찮아요. 다른 곳에서 2배정도 가격의 옷을 샀었는데 더 두껍고 질이 좋은 편이긴 했지만 핏이 너무 안예뻐서 반품했었어요. 통통한 분들은 이거 입니다! 남여공용이래서 너무 커서 부해보이지 않을까했는데 그냥 딱 맞아요. 길이도 너무 길지도 않고 안에 좀 따뜻하게 입으면 가을까지는 입을 수 있을 것 같고 마감도 좋아요.
24,kj** ,21.08.12,"어깨패드 있는듯 없는듯 하고
전체적으로 가격에 비해 만족하는 핏,디자인인거같아요
아쉬운건 어깨가 좀 더 탄탄했으면 하거나 소매부분이 저렇게 브이자로 마감된거나 가슴부분에 비스듬하게 박음질된게 아쉬워용
그래도 싼가격에 이정도면 선방한듯?"
25,lj** ,23.09.29,"키 173 기준 엉덩이 다 덮습니다! 적당히 오버한 블레이저를 찾았는데 넘 만족햐요 ,, 작지도 크지도 않고 딱 적당한 사이즈예요! 제 스타일에 안 어울릴까봐 한참 고민하다가 구매한건데 생각보다 휘뚤일거 같아요 ㅎㅎ 
근데 넘 주름이 심한 상태로 배송이 와요 .. 후기 보고 얼마나 심하겠나 했는데 정말 심합니다 ㅎ 스팀다리미로 열심히 다렸는데도 덜 다려져서 다리미로 또 다림 그리고 카라 뒷목 부분이 되게 두툼? 하고 자기주장이 심합니다 살짝 웃겨요 그치만 이 가격에 이 정도면 가성비 굿인거 같슴니다 배송도 직진배송이라 하루만에 왔어요 ദി ◠.◠) "
26,mc** ,22.10.18,"배송 온 당일 겉만 보고 괜찮아서 택 떼고 걸어뒀다가 다림질 하면서 발견했는데ㅎ.. 팔 안감이 다 뜯어져서 좀 심각해보이길래 문의남겼더니 뭐 아무것도 안된다구 하네용 핳ㅎ
모두 안감 잘 확인하고 택 제거하세요 ㅎ…
그리고 은근 얇아요~~!"
